Date,Name,Year,Letterboxd URI,Rating
2022-04-15,Indiana Jones and the Last Crusade,1989,https://boxd.it/2baO,4
2022-04-15,We Need to Talk About Kevin,2011,https://boxd.it/2pTS,4
2022-04-15,Cloudy with a Chance of Meatballs,2009,https://boxd.it/1A40,3
2022-04-15,Dawn of the Planet of the Apes,2014,https://boxd.it/3XyQ,4
2022-04-15,Rise of the Planet of the Apes,2011,https://boxd.it/cS4,3
2022-04-15,Alice Through the Looking Glass,2016,https://boxd.it/75Yo,2.5
2022-04-15,Fantastic Beasts: The Crimes of Grindelwald,2018,https://boxd.it/bg8G,2
2022-04-15,Winter on Fire: Ukraine's Fight for Freedom,2015,https://boxd.it/bYWU,3.5
2022-04-15,Teenage Mutant Ninja Turtles: Out of the Shadows,2016,https://boxd.it/9T2e,1
2022-04-15,Percy Jackson & the Olympians: The Lightning Thief,2010,https://boxd.it/1gJi,3
2022-04-15,Pirates of the Caribbean: Dead Men Tell No Tales,2017,https://boxd.it/5a9m,2
2022-04-15,The Secret Life of Pets,2016,https://boxd.it/aJ5E,1.5
2022-04-15,War for the Planet of the Apes,2017,https://boxd.it/8FE2,4
2022-04-15,Sherlock Holmes: A Game of Shadows,2011,https://boxd.it/k3S,1
2022-04-15,As Good as It Gets,1997,https://boxd.it/268y,3
2022-04-15,Ice Age: Dawn of the Dinosaurs,2009,https://boxd.it/20iC,3.5
2022-04-15,I Want to Eat Your Pancreas,2018,https://boxd.it/ie6C,3
2022-04-15,Jumanji: Welcome to the Jungle,2017,https://boxd.it/bUeE,2
2022-04-15,Back to the Future Part III,1990,https://boxd.it/2aTS,3
2022-04-15,Back to the Future Part II,1989,https://boxd.it/2aYI,3.5
2022-04-15,Nausicaä of the Valley of the Wind,1984,https://boxd.it/2bc6,3.5
2022-04-15,The Secret World of Arrietty,2010,https://boxd.it/AF4,4
2022-04-15,From Up on Poppy Hill,2011,https://boxd.it/2VCa,3.5
2022-04-15,The Lego Movie 2: The Second Part,2019,https://boxd.it/8BAU,3.5
2022-04-15,If Anything Happens I Love You,2020,https://boxd.it/qIv4,3.5
2022-04-15,Spider-Man: Far From Home,2019,https://boxd.it/fegG,2.5
2022-04-15,The Devil All the Time,2020,https://boxd.it/i2tY,2.5
2022-04-15,Captain America: Civil War,2016,https://boxd.it/89Ja,2.5
2022-04-15,Deadpool,2016,https://boxd.it/9fOC,3.5
2022-04-15,Star Trek,2009,https://boxd.it/1Q6c,2
2022-04-15,The Butterfly Effect,2004,https://boxd.it/27M0,3
2022-04-15,Regular Show: The Movie,2015,https://boxd.it/bXNM,2.5
2022-04-15,Surf's Up,2007,https://boxd.it/1YKY,2
2022-04-15,A Quiet Place,2018,https://boxd.it/fVJQ,3.5
2022-04-15,Anima,2019,https://boxd.it/mxuc,3
2022-04-15,Argo,2012,https://boxd.it/2czU,3.5
2022-04-15,John Wick: Chapter 2,2017,https://boxd.it/ayGu,3
2022-04-15,The Amazing Spider-Man,2012,https://boxd.it/27PI,3
2022-04-15,Man of Steel,2013,https://boxd.it/FRk,3
2022-04-15,Three Colors: Blue,1993,https://boxd.it/2b7K,3.5
2022-04-15,BlacKkKlansman,2018,https://boxd.it/hxL8,4.5
2022-04-15,Spider-Man,2002,https://boxd.it/2a8i,2.5
2022-04-15,Kung Fu Panda 2,2011,https://boxd.it/G36,3
2022-04-15,Superbad,2007,https://boxd.it/20hO,4
2022-04-15,Robots,2005,https://boxd.it/1Xve,3
2022-04-15,Polytechnique,2009,https://boxd.it/1AMG,4
2022-04-15,Mary and Max,2009,https://boxd.it/1y2m,4.5
2022-04-15,Wanted,2008,https://boxd.it/1ZBS,2
2022-04-15,Waves,2019,https://boxd.it/jpmy,4
2022-04-15,The Wrestler,2008,https://boxd.it/1So8,3.5
2022-04-15,High School Musical,2006,https://boxd.it/1V0y,2.5
2022-04-15,The Hunger Games,2012,https://boxd.it/2uds,2
2022-04-15,mother!,2017,https://boxd.it/dgRU,4.5
2022-04-15,Skyfall,2012,https://boxd.it/17Fc,2.5
2022-04-15,Mission: Impossible - Fallout,2018,https://boxd.it/bSVc,3.5
2022-04-15,Groundhog Day,1993,https://boxd.it/2b3e,3.5
2022-05-10,5 Centimeters per Second,2007,https://boxd.it/16G4,3.5
2022-05-10,Weathering with You,2019,https://boxd.it/kPxE,3.5
2022-05-11,The Girl with the Dragon Tattoo,2011,https://boxd.it/2Pa,3
2022-05-11,Gone Girl,2014,https://boxd.it/6hQu,3.5
2022-05-11,Mank,2020,https://boxd.it/mIuC,3.5
2022-05-26,Chip 'n Dale: Rescue Rangers,2022,https://boxd.it/eSk2,3
2022-05-28,Joker,2019,https://boxd.it/h4cS,3.5
2022-06-05,Green Lantern,2011,https://boxd.it/QN4,1
2022-06-05,The Adventures of Tintin,2011,https://boxd.it/1Irc,4
2022-06-14,Sonic the Hedgehog,2020,https://boxd.it/gdK8,3
2022-06-14,Jurassic Park,1993,https://boxd.it/2aA2,4
2022-06-19,Everything Everywhere All at Once,2022,https://boxd.it/jUk4,4
2022-06-19,Ponyo,2008,https://boxd.it/1S0A,4
2022-06-21,Jungle Cruise,2021,https://boxd.it/g4YK,3.5
2022-06-22,"Paris, Texas",1984,https://boxd.it/29Ts,4.5
2022-06-22,The Avengers,2012,https://boxd.it/1xFW,3
2022-06-26,The Summit of the Gods,2021,https://boxd.it/qFIu,3.5
