Date,Name,Year,Letterboxd URI
2021-09-29,Nimic,2019,https://boxd.it/n10Q
2021-09-29,Shiva Baby,2020,https://boxd.it/oIv0
2021-09-30,The Master,2012,https://boxd.it/2cBG
2021-10-01,The Hunt,2012,https://boxd.it/3wEC
2021-10-01,Rogue One: A Star Wars Story,2016,https://boxd.it/aPvy
2021-10-05,In the Mood for Love,2000,https://boxd.it/29tE
2021-10-11,El Infierno,2010,https://boxd.it/yvm
2021-10-21,Amour,2012,https://boxd.it/34Q6
2021-10-21,The Many Saints of Newark,2021,https://boxd.it/j356
2021-10-28,Midsommar,2019,https://boxd.it/jhxe
2021-10-29,First Cow,2019,https://boxd.it/krga
2021-11-01,The Others,2001,https://boxd.it/27Po
2021-11-01,The Emperor's New Groove,2000,https://boxd.it/1Tey
2021-11-01,Juno,2007,https://boxd.it/210a
2021-11-01,About Time,2013,https://boxd.it/43bI
2021-11-01,Coraline,2009,https://boxd.it/1NhQ
2021-11-01,Blue Jay,2016,https://boxd.it/enEq
2021-11-02,Eyes Wide Shut,1999,https://boxd.it/2axs
2021-11-02,Dune,2021,https://boxd.it/fA7G
2021-11-11,Three Colors: Blue,1993,https://boxd.it/2b7K
2021-11-13,We Need to Talk About Kevin,2011,https://boxd.it/2pTS
2021-11-13,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",2005,https://boxd.it/2ark
2021-11-13,The Chronicles of Narnia: Prince Caspian,2008,https://boxd.it/26Hy
2021-11-13,Kong: Skull Island,2017,https://boxd.it/9ewM
2021-11-13,Over the Garden Wall,2014,https://boxd.it/eqFw
2021-11-13,Band of Brothers,2001,https://boxd.it/aRNY
2021-11-13,Fullmetal Alchemist: Brotherhood,2009,https://boxd.it/ptii
2021-11-13,Avatar Spirits,2010,https://boxd.it/8vKa
2021-11-13,When They See Us,2019,https://boxd.it/kbJU
2021-11-14,Walk the Line,2005,https://boxd.it/2bdS
2021-11-14,Swiss Army Man,2016,https://boxd.it/bDG2
2021-11-28,One Night in Miami...,2020,https://boxd.it/oCUo
2021-11-28,The Great Escape,1963,https://boxd.it/22kA
2021-11-28,The Breakfast Club,1985,https://boxd.it/27q4
2021-11-28,Punch-Drunk Love,2002,https://boxd.it/20E4
2021-12-08,20th Century Women,2016,https://boxd.it/bqU6
2021-12-10,Last Night in Soho,2021,https://boxd.it/lbJC
2021-12-13,The Father,2020,https://boxd.it/m8Ie
2021-12-14,"tick, tick...BOOM!",2021,https://boxd.it/jz2e
2021-12-15,The Power of the Dog,2021,https://boxd.it/m99E
2021-12-15,A Cop Movie,2021,https://boxd.it/qdMI
2021-12-16,Eternal Sunshine of the Spotless Mind,2004,https://boxd.it/6YK
2021-12-20,The French Dispatch,2021,https://boxd.it/jLP8
2021-12-22,The Wrestler,2008,https://boxd.it/1So8
2021-12-25,The Matrix Reloaded,2003,https://boxd.it/2a1c
2021-12-27,Spider-Man: No Way Home,2021,https://boxd.it/nwRw
2021-12-29,The Green Knight,2021,https://boxd.it/kuy2
2021-12-31,C'mon C'mon,2021,https://boxd.it/nrI0
2022-01-03,Bo Burnham: Inside,2021,https://boxd.it/v2uy
2022-01-04,Don't Look Up,2021,https://boxd.it/o0Hc
2022-01-07,Encanto,2021,https://boxd.it/kPRu
2022-01-08,Nobody,2021,https://boxd.it/mLqS
2022-01-09,Paddleton,2019,https://boxd.it/j4YQ
2022-01-09,Portrait of a Lady on Fire,2019,https://boxd.it/jkPq
2022-01-12,Logan Lucky,2017,https://boxd.it/dZrs
2022-01-18,The House,2022,https://boxd.it/yVza
2022-01-20,The Amazing Spider-Man,2012,https://boxd.it/27PI
2022-01-20,The Social Network,2010,https://boxd.it/17ue
2022-01-23,The Darjeeling Limited,2007,https://boxd.it/24as
2022-01-23,Castello Cavalcanti,2013,https://boxd.it/6WlM
2022-01-23,Bottle Rocket,1994,https://boxd.it/pP8
2022-01-23,Cousin Ben Troop Screening,2012,https://boxd.it/49SS
2022-01-23,Blue Valentine,2010,https://boxd.it/MxG
2022-01-24,Hilda and the Mountain King,2021,https://boxd.it/tHmQ
2022-01-24,Eighth Grade,2018,https://boxd.it/hDMG
2022-01-24,Anima,2019,https://boxd.it/mxuc
2022-01-25,I'm No Longer Here,2019,https://boxd.it/lqSu
2022-01-25,Incendies,2010,https://boxd.it/Msm
2022-01-27,Eternals,2021,https://boxd.it/j36o
2022-01-29,Shang-Chi and the Legend of the Ten Rings,2021,https://boxd.it/kLDI
